# Arp Atlas of Peculiar Galaxies (Arp 1966)
# Source: VizieR catalog VII/192 (Webb 1996) — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/192
# Coordinates are J2000. size is the object diameter in arcminutes.
# canonical_id links to NGC/IC/Messier only for single-galaxy entries.
ra,dec,catalog,catalog_id,canonical_id,size
240.554167,15.906667,Arp,324,Arp_324,12.80
331.600000,-21.078333,Arp,325,Arp_325,2.10
204.329167,6.478333,Arp,326,Arp_326,10.40
80.441667,6.688333,Arp,327,Arp_327,2.60
221.983333,19.056667,Arp,328,Arp_328,5.20
173.029167,70.815000,Arp,329,Arp_329,2.60
252.283333,53.431667,Arp,330,Arp_330,10.40
16.854167,32.411667,Arp,331,Arp_331,20.80
47.116667,-23.051667,Arp,332,Arp_332,20.80
39.800000,10.846667,Arp,333,NGC_1024,5.20
202.608333,31.620000,Arp,334,Arp_334,3.50
166.100000,4.830000,Arp,335,NGC_3509,2.60
133.895833,58.733333,Arp,336,NGC_2685,6.90
148.966667,69.680000,Arp,337,Messier_82,10.40
152.745833,-7.915000,Arp,338,Arp_338,2.10
