# Principal Galaxy Catalogue — RC3 subset (de Vaucouleurs et al. 1991)
# Source: VizieR catalog VII/155 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/155
# Coordinates are ICRS (J2000). size is D25 (major axis at 25 mag/arcsec²) in arcminutes,
# converted from logD25 (log10 of D25 in 0.1 arcmin): size = 10^D25 * 0.1.
# magnitude is total B magnitude (BT).
ra,dec,catalog,catalog_id,size,magnitude
5.755833,-56.835833,PGC,1481,1.74,
5.750000,2.433333,PGC,1485,1.41,
5.796667,27.432778,PGC,1491,0.65,
5.817917,24.954722,PGC,1495,0.00,
5.817917,-8.492500,PGC,1496,1.02,
5.825000,35.133333,PGC,1498,1.10,
5.875000,20.233333,PGC,1502,1.45,
5.950000,14.687222,PGC,1511,1.10,
5.974167,28.331667,PGC,1516,0.89,
5.975833,-62.271111,PGC,1517,0.66,
5.977500,-32.536389,PGC,1518,2.19,13.37
5.975000,24.300000,PGC,1520,1.02,
5.998750,15.769444,PGC,1523,1.41,13.99
6.009583,25.662222,PGC,1524,0.55,
6.010833,16.485833,PGC,1525,5.50,13.91
6.118750,-50.684722,PGC,1535,1.10,
6.125000,-11.483333,PGC,1538,1.66,
6.150000,29.266667,PGC,1544,0.00,
6.161667,33.252778,PGC,1546,1.05,
6.179167,14.822222,PGC,1550,0.91,
6.194167,29.560278,PGC,1552,1.10,
6.200000,45.150000,PGC,1559,1.00,
6.225000,6.650000,PGC,1566,1.00,
6.245000,43.662500,PGC,1567,0.71,
6.265000,31.344722,PGC,1572,1.91,
6.372917,-14.553611,PGC,1575,1.70,
6.275000,42.050000,PGC,1576,1.00,
6.300000,6.483333,PGC,1577,2.45,
6.307083,30.036111,PGC,1578,0.87,
6.320833,12.885000,PGC,1583,1.12,13.90
6.370833,20.237500,PGC,1591,1.74,
6.374583,45.921667,PGC,1592,1.86,
6.375000,24.816667,PGC,1594,0.98,
6.380000,-33.046389,PGC,1595,2.14,
6.449583,-2.284722,PGC,1609,2.00,
6.454583,-62.330000,PGC,1610,1.15,
6.450000,5.400000,PGC,1611,1.35,
6.477083,25.723333,PGC,1614,0.00,15.89
6.495833,29.211389,PGC,1619,2.04,
6.495417,14.347500,PGC,1621,1.00,
6.512500,-32.845556,PGC,1624,1.91,
