# Lynds' Catalogue of Dark Nebulae (Lynds 1962)
# Source: VizieR catalog VII/7A — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/7A
# Coordinates are ICRS (J2000). size is the diameter of the equivalent circle in arcminutes,
# derived from the catalogue Area (sq deg): 2*sqrt(Area/pi)*60.
ra,dec,catalog,catalog_id,size
286.655000,-3.005000,LDN,590,214.09
279.144583,-0.790556,LDN,591,38.89
277.130833,2.033056,LDN,592,7.10
279.893750,-0.620278,LDN,593,46.02
285.149167,-1.762222,LDN,594,4.79
296.423333,-7.377500,LDN,595,15.44
282.040000,0.223333,LDN,596,16.72
282.690417,0.076389,LDN,597,9.08
281.687500,0.721667,LDN,598,2.14
282.890417,0.143889,LDN,599,10.04
277.627083,2.868889,LDN,600,11.53
281.687083,0.805000,LDN,601,2.14
282.891250,-0.072778,LDN,602,3.71
281.586667,0.887778,LDN,603,4.28
282.890000,0.227222,LDN,604,26.40
281.686667,0.888333,LDN,605,3.03
282.891667,-0.189444,LDN,606,3.03
282.019167,-0.693611,LDN,607,25.96
282.892917,-0.439444,LDN,608,4.28
282.893333,-0.522778,LDN,609,3.71
282.395000,-0.858333,LDN,610,24.32
283.917083,-0.267778,LDN,611,8.29
283.992917,-0.434167,LDN,612,3.71
284.192500,-0.350000,LDN,613,5.66
284.192500,-0.350000,LDN,614,12.11
289.900417,-2.073333,LDN,615,78.66
281.881250,2.055833,LDN,616,104.67
284.385833,1.067778,LDN,617,58.44
288.896667,-1.244722,LDN,618,9.08
289.522500,-1.458333,LDN,619,8.56
290.146250,-1.155556,LDN,620,9.08
281.875417,3.222500,LDN,621,454.16
287.892500,-0.332500,LDN,622,36.90
298.662083,-4.867778,LDN,623,120.92
286.383750,1.576944,LDN,624,47.20
286.633750,1.578333,LDN,625,3.03
286.633333,1.661667,LDN,626,3.71
288.512083,0.836944,LDN,627,117.07
284.624583,3.435556,LDN,628,95.75
289.385833,1.090833,LDN,629,42.39
279.736667,6.045556,LDN,630,37.14
288.129167,2.585278,LDN,631,9.57
290.133750,1.594444,LDN,632,59.22
280.232083,7.048056,LDN,633,18.54
280.354583,7.548611,LDN,634,16.44
287.371667,4.131667,LDN,635,2.14
286.619167,4.661389,LDN,636,31.76
280.351250,8.215278,LDN,637,11.73
282.605833,7.309444,LDN,638,302.78
288.117500,5.085278,LDN,639,79.24
