# Catalogue of HII Regions (Sharpless 1959)
# Source: VizieR catalog VII/20 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/20
# Coordinates converted from B1950 to ICRS. size is the object diameter in arcminutes.
ra,dec,catalog,catalog_id,size
105.672463,-11.461575,Sh2,295,8.00
106.450262,-11.218846,Sh2,296,200.00
106.314306,-12.334293,Sh2,297,7.00
109.658229,-13.198660,Sh2,298,22.00
112.665703,-15.292766,Sh2,299,1.00
112.764670,-15.410328,Sh2,300,3.00
107.453556,-18.478537,Sh2,301,9.00
112.924578,-16.978501,Sh2,302,21.00
103.507532,-22.425040,Sh2,303,90.00
100.860919,-24.133287,Sh2,304,200.00
112.533785,-18.525056,Sh2,305,4.00
112.653073,-19.109490,Sh2,306,30.00
113.883257,-18.753828,Sh2,307,6.00
103.540587,-23.942101,Sh2,308,35.00
113.025343,-19.429516,Sh2,309,12.00
108.264056,-24.586357,Sh2,310,480.00
118.086677,-26.441025,Sh2,311,45.00
134.790562,-25.688509,Sh2,312,720.00
193.381844,-22.859840,Sh2,313,12.00
